,name,longitude,latitude,free_bikes,empty_slots,fsq_id
102,"C/ BAC DE RODA, 157",2.1987258,41.4113024,11,8,285fb40978472b0c0755ff451abf3dff
103,"C/ LAFORJA, 74-76",2.1471724,41.3976165,0,22,296d8cf892209d45de2ffb6cd8bfc9ec
104,"C/ DIPUTACIÓ, 373",2.1756598,41.3968391,18,7,2a09840707012491550b6807d25f2c84
105,"C/ PUJADES, 121",2.1974184,41.3993329,9,19,2ac4f6528d3b970a9fb266edd9776986
106,"C/ BRUC, 66",2.1707419,41.393489,23,7,2aff2ad9ec4b1b84d6abd6492da2e4e6
107,"C/ GRAN DE GRÀCIA, 91",2.1543317,41.4006862,0,18,2b993294c8972929fed281e92891f252
108,"C/ TORRENT DE L'OLLA, 11",2.1606736,41.3989713,0,27,2cf57e9086d0eebfbba51e26c23d0c6e
109,"C/ DE LES ESCOLES PIES, 99",2.1283866,41.4029965,0,26,2eba5bdf50133a1330d68bd60522da49
110,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",2.1572953,41.3953894,0,23,30523ab4cbdb1282d68199e25f481983
111,"C/ VALÈNCIA, 621",2.1872438,41.4108005,18,4,3074f74d1d0b376da926a2c7db3c7977
112,"C/ SANTA AMÈLIA, 2",2.1231228,41.3935355,3,20,30f67feaf5a06496a48c4faf1fe559df
113,"C/ SANT RAMON DE PENYAFORT, 1",2.2206913,41.4134833,19,28,31510e5643434782b828ba5d91cff7f0
114,"AV. D'EDUARD MARISTANY, 1 /FORUM",2.2193724,41.4109763,5,25,31db8a173f6808528f760738023a0d62
115,PG. DE COLOM - VIA LAIETANA,2.1820675,41.380624,19,4,322b68b58c0cae1ff17acb1464eb2337
116,C/ JOSEP SAMITIER | AV. JOAN XXIII,2.1190863,41.3812111,1,26,3265388081aa892ccb5c0730f388da9e
117,"AV. LITORAL, 40 (D)",2.1999572,41.3896642,10,41,3285abf457eb641068daf1b4e5a778de
118,"C/ LLACUNA, 86",2.1976297,41.4022657,1,30,3360c263fd39ea95302bf51e7721067e
119,"C/ D'ALACANT, 12",2.1326911,41.4000778,0,23,34419711ca6f3df9e56a17c7f082b514
120,"C/ LISBOA, 128",2.1521909,41.4267638,2,25,346a3f4d1e15c95fcf7abf4dd69cb0a7
121,"C/ PERIODISTES, 9",2.174401,41.422037,7,10,34cdc33080951b4f34169e9b0de12e71
122,"RAMBLA DEL RAVAL, 13",2.1689592,41.3793558,22,0,35dee580f2824b604e13f794b0c66262
123,"C/ NOU DE LA RAMBLA, 164",2.1667829,41.3719688,18,7,35e66e698b6339913614094b36a65fc8
124,"C/ DE ROSSELLÓ I PORCEL, 1 | AV. MERIDIANA",2.1841014,41.4364887,1,31,363c591f6e428ff1d478e80b6ae106b6
125,"PL. JEAN GENET,  1",2.1740082,41.376735,15,2,36a77ee7024d6a550a37897e26e1cc3d
126,"C/ MARINA, 199",2.1788855,41.4005784,25,10,36bdd6c1fecf797cbdf1cc70c4a46a4b
127,"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)",2.1696543,41.387696,1,19,371fdbbe54ad9b4dad4c2348497188ea
128,"C/ NOU BARRIS, 23",2.1775154,41.4480464,3,15,3816f07afcd45edd4822fe3147d18799
129,"C/ CASTELLA,  28 / DIAGONAL",2.1977119,41.4056269,1,23,386c55096475077ec2346c1a074a2f21
130,"C/ ROC BORONAT, 134",2.1936584,41.4034967,2,28,38ebb650dd9d97eed0737b715bc34c1a
131,"PG. BONANOVA, 100",2.122889,41.400793,6,15,39a2c0f0f49e9e3449fc18a3215cfd88
132,"C/ BOLIVIA, 120",2.1949461,41.4058109,2,22,3a2ade138375fbb7e09bd97923442494
133,"C/ ROSSELLÓ, 453",2.1740472,41.4060589,15,10,3b49ae2b98339c34d6fb46ce8f0fcc65
134,"C/ CASANOVA, 119",2.1552902,41.387888,2,25,3c096aee00bf5fd600b60936a0fe3e52
135,"C/ SANTALÓ, 165",2.13892,41.4009,7,13,3c743ecf94b93efe624e6495b8634440
136,"C/ JOAN GÜELL, 98",2.1323612,41.3812001,10,11,3d0eb79ed109cc00dfd80dc5ed800cf5
137,"C/ JUAN GRIS, 28",2.1331357,41.3653426,13,18,3dbb2b93d9b68513c2c52e9c10e64aba
138,"C/ ARGENTERA, 23",2.1453424,41.4117633,13,7,3dc0ced3eb7d74f753eff203d02d79cd
139,"PG. FABRA I PUIG, 411",2.163872,41.4357978,6,19,3e5d559944765b0a79693f6177076ce1
140,"C/ PERE IV, 488",2.207186,41.4148983,13,9,404e95fdd5b74e1e23f3c5726866ee29
141,"C/ LOPE DE VEGA, 79",2.2041137,41.4038902,13,10,408725c15ad93ef162f0e92a0cfec7d1
142,"C/ PALLARS, 504",2.2150487,41.4140598,8,13,417ad16238c60e93946e9c620a3d8401
143,"C/ VIRIAT,  53",2.141539,41.3808222,3,18,4221670311bebbea4f1f557ffcd04050
144,"AV. CAN MARCET, 36",2.147904,41.4347859,2,22,42dc5e1f94087c6cc143d7b6144a04a2
145,"C/ WATT, 2",2.1398409,41.3754426,8,9,431ed6d01c118a6b0295a8f949fe526a
146,"GRAN VIA DE LES CORTS CATALANES, 632",2.1679313,41.3890626,0,15,43cd75e496ecd2187a03c10902556277
147,"C/ ANDREU NIN, 22",2.1817718,41.4347233,0,29,43cdddea3c798a5ce5c81ad93210d498
148,"AV. MERIDIANA, 40",2.1871959,41.3960652,4,17,45307942511011020db4625be2fba678
149,"C/ NÀPOLS, 344",2.1663172,41.4054458,4,26,455446f63c8b93fac65bf23a56262efb
150,"GRAN VIA DE LES CORTS CATALANES, 609",2.1678388,41.3893222,0,16,465d5fbd9f725cdd4dbdba1f0612ce64
151,"GRAN VIA DE LES CORTS CATALANES,  981",2.1972673,41.4120452,8,10,468cdd79007124037cb4c49834f0f4c4
152,"C/ ESPRONCEDA, 124",2.203028,41.4065912,2,23,4695e42f21ff521e2f7f08ed7eda702d
153,"AV. DE LA CATEDRAL, 6",2.1766834,41.3850616,10,10,485e3dcc8a771641516691cbcf3631e2
154,"C/ SANT OLEGUER, 2",2.1707321,41.3775319,14,1,4a30020e6926a2ba39f88be0f6bba5cb
155,"PL. URQUINAONA, 3",2.1727457,41.3893094,9,18,4a63c1017c6874ca8491622dded0c3d3
156,"PG. ZONA FRANCA, 54",2.1433038,41.3545425,5,12,4adedd174616ff28ded24a9ad859660f
157,"C/ DELS ENAMORATS, 49",2.181199,41.4040525,28,7,4b6e4440cac580a0f4055d7468f2935e
158,"AV. JOSEP TARRADELLAS, 133",2.1432105,41.3900085,0,13,4b706ced6b46617641ab8a7c2f09bc5f
159,"C/ PROVENÇA, 317",2.166735224916682,41.3988184485363,0,15,4bb1fd0291adbb8f29ad93854e5d026b
160,"AV. ROMA,  136",2.155089,41.3852585,3,14,4bdc1a278f6ce0475588aca3e87ed6ae
161,"AV. MARQUÉS DE L'ARGENTERA,  3",2.184171,41.383597,9,11,4d9eddb337a5445a36c262bc8358952d
162,"C/ ALEXANDRE GALÍ, 1-5",2.1812399,41.4239719,12,14,4dfd8455201f85dbdab1b9875c1d243d
163,"C/ VILLAR, 2",2.1801094,41.4164824,20,7,4e166f81d275254f6d701f3ff3c80649
164,"PTGE. MALUQUER, 16",2.1360313,41.4095489,1,22,4e1e9b146f81a64487cce22816ff59af
165,"C/ DE NIL FABRA, 16-20",2.1517977,41.4059356,4,18,4ec39ba0bb29d1ca4292b40933dc6bb8
166,"C/ ALMOGÀVERS, 63",2.1860256,41.3943033,8,17,4edfad5f85ac5f41f71d030bb02c7a3d
167,"C/ ROGER, 24",2.1269152,41.3767538,18,8,4ee62fada6250687374151b4aeb039fa
168,"C/ SARDENYA, 465",2.1656378,41.4090922,20,2,4f0c56ea18d30a06609a7947f8645968
169,PL. UNIVERSITAT,2.1634768,41.385503,2,19,4f0cdc9d1e090de64755ea017b643f1e
170,SEU DEL DISTRICTE (NOU BARRIS),2.1706752,41.4363473,1,19,4f35587b5a87254f405a876d473846c4
171,"C/ RAMON TURRÓ, 4",2.1906339,41.3905303,9,9,4f57882bd9e80a8ba121bad1315b9d25
172,"C/ LONDRES, 101-103",2.1507739,41.3936144,0,20,4f6b0a073b67a22434cab65e4fedf4ad
173,"RAMBLA PRIM, 79",2.2124993,41.416043,9,22,4f7f0e5605acd664b3a57dfe7c90667b
174,"C/ PROVENÇA, 445",2.174799,41.4048623,14,1,4fc2b099f144cfca9c0c0df278e371d2
175,"C/ VILLENA, 1",2.1921945084594707,41.38860659692564,41,11,5030fd4c58f12bc3e15d661e4c969152
176,PLAÇA ALFONS X EL SAVI / RONDA DEL GUINARDO,2.1652216,41.4121345,8,19,508b30de9a0df2655f739a08903c7d45
